[22-Feb-2024 10:10:58 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:10:58 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:12:06 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:12:06 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:15:00 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:15:00 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:27:36 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:27:36 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:27:44 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:27:44 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:27:49 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:27:49 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:31:13 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:31:13 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:31:18 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:31:18 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:33:43 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:33:43 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:33:52 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 46
[22-Feb-2024 10:33:52 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 46
[22-Feb-2024 10:35:16 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 46
[22-Feb-2024 10:35:16 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 46
[22-Feb-2024 10:35:41 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 46
[22-Feb-2024 10:35:41 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 46
[22-Feb-2024 10:38:35 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 46
[22-Feb-2024 10:38:35 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 46
[22-Feb-2024 10:38:46 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:38:47 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:38:52 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:38:52 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:39:28 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:39:28 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:44:07 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:44:07 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:44:13 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:44:13 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:50:15 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:50:15 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:50:26 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 10:50:26 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
<<<<<<< HEAD
<<<<<<< HEAD
[22-Feb-2024 13:36:34 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 13:36:34 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 13:36:40 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 13:36:40 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 13:38:12 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 13:38:12 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 13:38:31 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 13:38:31 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 13:39:16 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 13:39:16 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 43
[22-Feb-2024 13:39:44 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 46
[22-Feb-2024 13:39:44 UTC] PHP Notice:  Object of class WP_Term could not be converted to int in /Applications/MAMP/htdocs/planty1/wp-content/themes/oceanwp-child-theme-master/functions.php on line 46
